Sample	SDW	RDW	NDW.SDW.ratio	NN	NDW	SDWi.SDWf	RDWi.RDWf	nNDW	NDW.RDW.ratio
1990-129F	17.28	4.07	4.24	214	0.37	0.68	0.72	10.08	2.16
1939-1F	6.18	3.12	1.98	166	0.43	NA	NA	16.15	7.02
1989-10F	10.3	3.59	2.87	124	0.2	1.17	0.39	5.75	1.89
1905-5F	8.74	3.73	2.34	208	0.43	0.99	0.36	13.05	4.92
1988-16F	11.31	4.08	2.77	186	0.38	0.71	0.64	10.19	3.34
1483-1E	6.35	2.35	2.7	240	0.32	0.6	0.57	15.61	5
1972-1F	10.38	3.74	2.78	265	0.32	0.65	0.56	9.32	3.07
1987-124F	13.16	4.09	3.22	435	0.47	0.86	0.83	12.85	3.54
1990-107F	15.39	4.57	3.37	245	0.35	2.24	4.01	8.25	2.26
1989-12F	7.19	4.06	1.77	204	0.48	1.13	0.51	13.49	6.72
1894-3F	10.4	6.44	1.62	220	0.42	0.47	0.37	7.05	4.08
1987-18F	12.23	4.2	2.91	387	0.52	0.81	0.63	14.1	4.24
1873-16E	5.97	2.35	2.54	158	0.26	NA	NA	12.19	4.27
1989-24F	8.58	3.88	2.21	289	0.44	0.93	0.6	12.82	5.13
1938-1F	3.55	2.06	1.73	162	0.22	NA	NA	11.99	6.21
1989-4F	7.05	3.66	1.93	190	0.31	0.74	0.46	9.42	4.47
1949-8F	10.47	3.28	3.19	305	0.4	0.77	0.58	13.9	3.82
1935-7F	7.01	3	2.34	134	0.33	0.96	0.78	12.55	4.77
1989-54F	10.68	3.19	3.35	381	0.48	0.86	0.62	17.85	4.52
1880-3E	9.39	2.54	3.69	277	0.36	0.63	1.02	16.28	3.79
SOY104	8.34	4.37	1.91	171	0.36	1.01	0.6	8.84	4.26
Soprano	10.28	4.06	2.53	256	0.54	0.95	0.53	15.28	5.23
1990-56F	6.04	3.67	1.65	190	0.28	0.86	0.52	8.27	4.64
1910-16F	6.43	1.68	3.83	188	0.31	NA	NA	22.63	4.82
1989-46F	13.01	3.87	3.36	293	0.5	0.68	0.44	14.87	3.85
1989-60F	12.85	4.36	2.95	261	0.44	1.02	0.54	11.11	3.39
1987-11F	7.45	3.39	2.2	226	0.51	0.73	0.7	17.76	6.87
1984-1F	8.51	3.65	2.33	206	0.35	1.21	1.53	10.45	4.07
1990-140F	8.92	3.53	2.53	284	0.39	1.04	0.31	12.42	4.37
1984-28F	5.96	2.01	2.96	173	0.38	0.49	0.26	23.1	6.34
1989-15F	8.4	3.43	2.45	204	0.43	0.93	0.58	14.46	5.16
1990-4F	8.12	3.88	2.09	199	0.49	NA	NA	14.45	6.03
1987-129F	9.96	3.2	3.11	261	0.37	0.66	0.6	13.08	3.72
1990-110F	16.24	6.15	2.64	382	0.4	1.01	0.57	6.95	2.46
1989-33F	7.39	2.51	2.94	299	0.33	0.51	0.78	15.03	4.45
1989-37F	7.84	3.69	2.12	293	0.49	0.94	0.28	15.12	6.19
1988-23F	10.87	4.18	2.6	305	0.57	0.66	0.71	15.84	5.26
1990-28F	8.17	3.4	2.41	88	0.21	1.06	0.25	6.62	2.58
1987-34F	10.16	2.63	3.86	197	0.47	0.67	0.37	21.91	4.65
1904-2F	8.86	2.93	3.02	183	0.49	1.71	1.66	19.9	5.49
1903-3F	10.65	4.93	2.16	396	0.67	1.26	1.77	15.69	6.28
1989-56F	8.33	4.34	1.92	265	0.42	0.99	0.42	10.82	5.09
1987-20F	11.53	4.13	2.79	309	0.47	0.88	0.81	12.78	4.06
1951-3F	9.69	3.22	3.01	174	0.41	0.63	0.71	14.54	4.22
1991-22F	14.77	4.66	3.17	326	0.56	0.94	0.68	13.78	3.82
1990-105F	8.52	4.86	1.75	231	0.48	1.3	0.59	11.06	5.68
1989-53F	12.14	3.54	3.43	257	0.43	0.95	0.38	13.79	3.53
1977-4F	5.77	1.69	3.41	206	0.28	0.65	0.44	19.86	4.85
Santa	7	3.2	2.19	256	0.35	0.88	0.49	12.13	4.94
1932-3F	3.35	1.41	2.37	71	0.23	0.41	0.15	19.72	6.96
1965-7F	5.67	3.33	1.7	130	0.29	0.68	0.75	9.54	5.11
1988-26F	9.61	4.53	2.12	407	0.61	0.66	0.93	15.56	6.35
1984-19F	9.9	4.26	2.32	154	0.45	1.28	1.38	11.79	4.54
1805-31F	5.8	2.14	2.71	169	0.21	0.75	0.38	10.93	3.64
1990-8F	10.65	3.84	2.77	186	0.37	1.17	0.6	10.77	3.51
1990-29F	12.39	5.25	2.36	246	0.56	0.82	0.87	11.96	4.52
1989-2F	12.26	4.19	2.93	188	0.43	0.83	0.79	11.37	3.49
1990-142F	8.41	3.68	2.29	575	0.51	0.77	0.54	16.01	6.04
1987-15F	6.72	4.07	1.65	406	0.63	0.63	0.57	18.26	9.36
1990-123F	11.11	3.96	2.81	178	0.35	0.68	0.62	9.62	3.13
1987-64F	5.72	2.76	2.07	324	0.36	0.75	0.25	15	6.3
1990-137F	8.78	3.65	2.41	255	0.55	0.59	0.73	17.7	6.25
1991-13F	12.19	8.68	1.4	214	0.37	0.8	1.69	4.49	3.06
1908-8F	7.12	3.42	2.08	171	0.32	0.72	0.4	10.34	4.5
1987-28F	7.27	2.98	2.44	251	0.27	0.91	0.96	9.98	3.72
1990-112F	12.68	2.94	4.31	204	0.39	0.87	0.7	15.36	3.09
1985-7F	8.93	2.82	3.16	196	0.36	NA	NA	14.48	4
1990-109F	11.84	3.62	3.27	395	0.68	1.17	0.29	23.13	5.74
1910-14F	6.31	2.19	2.88	206	0.38	0.65	0.53	20.99	6.02
1990-45F	10.7	3.41	3.13	261	0.43	0.8	0.71	14.52	4.05
1989-51F	9.82	4.43	2.22	315	0.41	0.93	0.55	10.2	4.18
1988-11F	7.85	2.49	3.15	238	0.31	0.64	0.35	14.26	3.96
Lukanga	10.67	5.71	1.87	306	0.64	0.98	1.23	12.53	5.96
1990-38F	13.68	4.76	2.87	327	0.65	0.77	0.45	15.9	4.78
1911-8F	11.9	5.06	2.35	124	0.36	0.88	0.76	7.76	3.06
1985-10F	12.51	4.43	2.83	186	0.6	0.76	1.19	15.59	4.77
1988-27F	8.82	4.12	2.14	252	0.42	0.85	0.84	11.49	4.81
1988-19F	6.19	2.44	2.54	149	0.25	1.34	1.76	11.58	4.09
1965-5F	4.97	2.41	2.06	170	0.33	NA	NA	15.87	6.64
1984-23F	6.71	2.38	2.82	141	0.3	0.54	0.38	14.3	4.43
1978-3F	5.93	2.31	2.57	279	0.44	0.67	1.74	23.57	7.44
1990-127F	7.82	3.66	2.14	116	0.26	0.88	0.54	7.51	3.27
1989-23F	12.37	3.65	3.39	228	0.45	0.84	0.9	14.22	3.67
1485-1D	6.59	2.32	2.85	230	0.31	NA	NA	15.46	4.7
1984-22F	6.67	2.75	2.42	112	0.41	0.47	0.85	17.64	6.19
1970-4F	6.86	2.99	2.29	422	0.43	0.89	0.67	16.73	6.24
1933-2F	7.37	2.89	2.55	167	0.4	1.39	1.35	16.25	5.48
1957-5F	10.23	3.27	3.13	264	0.46	0.56	0.27	16.41	4.51
1932-1F	8.64	2.79	3.1	333	0.41	0.81	1.23	17.21	4.74
1990-12F	10.73	3.88	2.77	228	0.4	0.66	0.93	11.42	3.7
Makwacha	7.08	2.5	2.84	135	0.18	0.69	0.48	7.78	2.54
1990-121F	3.7	2.4	1.54	131	0.24	0.46	0.21	11.02	6.43
1988-14F	9.58	3.56	2.69	173	0.32	1.34	0.77	9.88	3.34
